index,market_link,product_name,img_url,listing_upload_date,condition,description,market
17,https://www.carousell.sg/p/trinx-m500-elite-new-mountain-bike-24-speed-aluminium-frame-bicycle-1222328659/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=17,TRINX M500 ELITE New Mountain Bike 24 Speed Aluminium Frame Bicycle,https://media.karousell.com/media/photos/products/2023/3/23/trinx_m500_elite_new_mountain__1679571079_93ecb842_progressive_thumbnail.jpg,2023-10-13 09:11:09.026643,Brand new,new stock available trinx m elite mountain bike speed gear use shimano ef trigger shifter x shimano ty rear derailleur aluminium alloy bodyframe front lockout suspension fork front and rear mechanical disc brake double wall rim tyre frame size m colour blackorange matte blackgreen matte blueorange ready stock available get it store collection free delivery imm building jurong east street s warehouse area view collection hour monsat pmpm close on sunday direction access by bldg cargo lift at both end of imm load bay load bay be exit beside l burger king refer to last product image for direction bicycle be assemble ready to cycle bicycle issue after purchase can be service at our physical store,carousell
20,https://www.carousell.sg/p/fnhon-blast-oil-slick-shimano-tiagra-folding-bicycle-10-speed-1216102213/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=20,Fnhon Blast Oil Slick Shimano Tiagra Folding Bicycle 10 Speed,https://media.karousell.com/media/photos/products/2023/10/4/fnhon_blast_oil_slick_shimano__1696384417_13ac7dac_progressive_thumbnail.jpg,2023-10-13 09:11:09.026644,Brand new,fnhon blast oil slick folding bicycle speed shimano tiagra shifter rd full litepro part litepro aero wheelset and hollowtech crankset litepro hydraulic disc brake available in inch and wheel set est weight kg easily managable clearance now only at up all our listing in carousell be go on clearance sale now even some be sell at cost price guarantee cheap in the market for bicycle test ride be available no obligation check out outdoorfollowss listing on carousell for any enquiry for fast reply can call or wa link below address building nordcom tower lift lobby beside mindchamps gambas cres singapore opening hour mon fri after pm base on appointment only sit pm to pm sun pm to pm,carousell
21,https://www.carousell.sg/p/3sixty-6-speed-m-bar-trifold-folding-bicycle-1236496610/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=21,3sixty 6 Speed M bar Trifold Folding Bicycle.,https://media.karousell.com/media/photos/products/2023/10/1/3sixty_6_speed_m_bar_trifold_f_1696131591_2706fa8c_progressive_thumbnail.jpg,2023-10-13 09:11:09.026646,Brand new,clearance sale for bicycle test ride be available no obligation free delivery for fast deal while stock last brand new sixty fold bike frame chromoly steel speed sturmy archer speed internal hub x speed external speed wheel x aluminum wheel with kenda tire crank t alloy crankset seatpost lightweight aluminum sixty seatpost handlebar alloy m type include front block rear rack q type all premium colour sell at normal colour price luminous blue oil slick hollowtech crankset up all our listing in carousell be go on clearance sale now guarantee cheap in the market check out outdoorfollowss listing on carousell opening hour by appointmentonly mon fri preferably after pm sit and sunday pm to pm please wa you address build nordcom tower lift lobby beside mindchamps gambas cres singapore,carousell
22,https://www.carousell.sg/p/gcycle-foldable-bike-folding-bicycle-road-bike-hybrid-mountain-bike-shimano-litepro-java-dahon-fnhon-crius-1129589835/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=22,Gcycle - foldable bike folding bicycle road bike hybrid mountain bike shimano litepro java Dahon fnhon crius,https://media.karousell.com/media/photos/products/2021/12/4/gcycle__foldable_bike_folding__1638624847_e8e5c830_progressive_thumbnail.jpg,2023-10-13 09:11:09.026648,Brand new,ready stock view test ride self collection available free delivery foldable bike range from for sixty for pike brand dahon fnhon rifle crius hito java sixty pike shop gcycle contact number address kapo factory building block a singapore,carousell
23,https://www.carousell.sg/p/%F0%9F%94%A5instocks%F0%9F%94%A5-26-inch-21-speeds-eg7-mountain-bike-mtb-bike-bicycle-mountain-bike-mountain-bicycle-mtb-eg7-1-3-days-delivery-%E2%98%8E%EF%B8%8Fwhatsapp-82998491%E2%98%8E%EF%B8%8F%F0%9F%92%A5-goodmansg-goodman-good-%F0%9F%92%A5-1069700025/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=23,🔥INSTOCKS🔥 26 inch 21 Speeds (EG7) Mountain Bike MTB | bike / bicycle | Mountain Bike / Mountain Bicycle / MTB ( EG7) [1-3 Days Delivery].☎️WhatsApp 82998491☎️💥 Goodmansg / Goodman / Good 💥,https://media.karousell.com/media/photos/products/2022/9/29/instocks_26_inch_21_speeds_eg7_1664427649_0a00ec39_progressive_thumbnail,2023-10-13 08:11:09.026649,Brand new,visit you at our official webpage mountain bike road race speed bike great for delivery rider or cyclist who be look for a simple and light bicycle whole bicycle come with free maintenance tool bicycle be fully assemble ready to ride free delivery to doorstep till end of the month for self collectionviewing at sembawang do whatsapp to book an appointment wheel high carbon steel speed gear disc brake come with mudguard weight around kg measurement length x cmheight seat adjustable max load kg add on accessory front frame bag bottle holder two lead light bell at lock universal bike phone holder pump all acc above for save add on back rack add on helmet,carousell
27,https://www.carousell.sg/p/sg-stock-26%E2%80%9D-shimano-21-s-mountain-bike-mtb-bike-bicycle-mountain-bike-mountain-bicycle-mtb-1194623496/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=27,(SG STOCK)26” Shimano 21 S Mountain Bike MTB | bike/ bicycle | Mountain Bike / Mountain Bicycle/ MTB,https://media.karousell.com/media/photos/products/2023/8/17/sg_stock26_shimano_21_s_mounta_1692258996_85d36580_progressive_thumbnail.jpg,2023-10-13 08:11:09.026651,Brand new,same price we provid you the best quality we have attract wide attention since it be introduce last year due to it high cost performance in order to facilitate your travel need well service you to give you a good rid experience we have do many upgrade configuration on the bicycle part so that you can get a bike worth more than at the price of less the advantage of the explorerupgrade frame thick and thick high carbon steel frame brake dual disc brake tire kenda external tire wheel aluminum alloy cnc processing of the rim improve the bearing capacity of the rim prolong the life of the rim while improve the beauty of the whole bike central shaft bearing seal central shaft saddle streamline widen saddle not tire for long rid extend sit rod adjustable height pedal pvc pedal with bear brake handle indicate the connect brake handle transmission shimano speed transmission suitable height the gift package fender bell maintenance toolswater bottle holder pump lock be beyond your imagination this vehicle have be carefully tune and instal by our experienced master so you receive a macce explorer that be ready for the road three fashionable color for your choice grayout stock red green blackout stock oil slickout stock free delivery our pickup address be kallang pudding road mactech building singapore warranty after sale service free bike service valid for month include gear tune brake adjustment and general adjustment warranty year warranty for main frame all warranty do not include wear tear and consumable part term and condition,carousell
28,https://www.carousell.sg/p/professional-bicycle-servicing-bicycle-maintenance-1257053965/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=28,Professional Bicycle Servicing | Bicycle Maintenance,https://media.karousell.com/media/photos/products/2023/9/27/professional_bicycle_servicing_1695792039_71e31c28_progressive_thumbnail,2023-10-13 08:11:09.026653,Brand new,ekolife canberra clarke quay taiseng general service all bicycle basic diagnosis of the bicycle safety check tighten the chain tune break adjust handlebar etc chain clean lubricate bicycle of part bicycle wash upgrading of bicycle part price varies base on part where to find you chat with you now clarke quay canberra tai seng,carousell
30,https://www.carousell.sg/p/crius-master-d-disc-folding-bicycle-9-10-speed-shimano-s42-aero-wheels-hollowtech-crankset-1132144655/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=30,Crius Master D Disc Folding Bicycle 9/10 Speed Shimano S42 Aero Wheels Hollowtech crankset,https://media.karousell.com/media/photos/products/2023/1/5/crius_master_d_disc_folding_bi_1672922139_0726e679_progressive_thumbnail.jpg,2023-10-13 08:11:09.026654,Brand new,promotion till end of the month store wide off total cost for any x crius fold bicycle purchase for bicycle test ride be available no obligation free delivery for fast deal while stock last crius master d kfun wheelset shimano speed crius master d fold bicycle crius aluminium wheelset litepro adjustable handlepost litepro a aluminium seatpost litepro saddle jagwire cable litepro plus hollowtech crankset litepro plus mechanical disc brake litepro m pedal litepro aero s bear hub wheelset cst tyres sugek t cassette available colour speed black frame red part chameleon blue frame oil slick part full oil slick rise gold frame black part speed black frame gold part black frame red part chameleon blue frame gold part chameleon blue frame oil slick part chameleon blue frame red part full oil slick rise gold frame black part for speed shimano speed altus shifter bible z chain shimano speed rear derailleur for speed shimano speed tiagra shifter and rear derailleur shimano x chain all our listing in carousell be go on clearance sale now guarantee cheap in the market for bicycle test ride be available no obligation free delivery for fast deal while stock last check out outdoorfollowss listing on carousell opening hour by appointmentonly mon fri preferably after pm sit and sunday pm to pm address build nordcom tower lift lobby beside mindchamps gambas cres singapore sixty crius criusmasterd fnhon fnhongust fnhonblast criusvelocity minttrifold trifoldbicycle sixty crius criusmasterd fnhon fnhongust fnhonblast criusvelocity minttrifold trifoldbicycle,carousell
31,https://www.carousell.sg/p/btwin-16-inch-bicycle-dark-hero-decathlon-1259717614/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=31,Btwin 16 Inch Bicycle Dark Hero Decathlon,https://media.karousell.com/media/photos/products/2023/10/12/btwin_20_inch_bicycle_1697111250_cdec7f2a_progressive_thumbnail.jpg,2023-10-13 08:11:09.026656,Like new,very good btwin bicycle for to year old come with support wheel hardly use see the picture of tyre pick up fort road fort garden use less than time btwin inch dark hero model,carousell
32,https://www.carousell.sg/p/customise-fnhon-gust-%E2%80%A2-foldable-bicycle-foldie-fold-folding-bike-%E2%80%A2-shimano-sora-tiagra-105-%E2%80%A2-406-451-litepro-silverock-schwalbe-promend-%E2%80%A2-customise-my-bicycle-personalise-stylish-safe-to-ride-directly-sourced-from-factories-1236043737/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=32,Customise Fnhon Gust • Foldable Bicycle Foldie Fold Folding Bike • Shimano Sora Tiagra 105 • 406 451 Litepro Silverock Schwalbe Promend • Customise My Bicycle : Personalise & Stylish : Safe To Ride : Directly Sourced From Factories,https://media.karousell.com/media/photos/products/2023/6/6/customise_fnhon_gust__foldable_1686068434_7cc5a805_progressive_thumbnail.jpg,2023-10-13 08:11:09.026658,Brand new,want to customise fnhon gust but do not want the hassle of diy yourself answer the below question and we will help you build it price range be build and shipping time be week body frame colour choose from the picture above or ask me any other new colour handle bar straight or curve riser aluminium or carbon brake hydraulic or wire chainring big t or small t gear or or shimano or sensah or sram pedal fix quick release foldable wheel rim size or high wall litepro aero silverock or low wall litepro kfun tyre thin or thick component colour if you be not clear what colour be nice leave it to me handle bar black silver red gold foc limit ring black silver red gold blue foc handgrip black brown foc handgrip ring black silver red gold blue foc brake lever black yellow red blue foc wire black white red yellow blue foc handle post silver black all foc headset black silver red gold blue foc crank arm black silver red gold foc pedal black silver red foc chainring black silver red gold foc chain silver gold foc wheel black silver red gold foc outer tyre black foc seat post black silver red gold foc seat post clamp black silver red gold blue purple foc saddle black brown foc others anything not mention above please talk to me freebie worth bell bottle cage multitools usb charge front back light chain lubricant kick stand disc brake clean aluminium air pump cap antidust crank cap protection sticker aluminium wire cap antidust cover tuning of gear shift check no loose stem check no disc rub check no drop chain check no loose lock pump tyre at correct psi bike be safe and ready to ride self collection at telok blangah payment in cashpaynowcredit card benefit of customisation save money part component be more expensive if you get locally and labour fee be not cheap in singapore no waste old part and component be most likely throw away everything accord to your need small part like the ring color of handgrip,carousell
